CC	CT  kmer_occurrence    short_read_kmer_count  raw_input_kmer_count  adjusted_input_kmer_count
CC	FR  fpr_lower_bound    fpr_upper_bound
CC	ER  total_input_kmers  adjusted_error_kmers
CC	CV  coverage
CC	QV  raw_quality_value  adjusted_quality_value
CC
CT	821	9	18	18.000
CT	820	14	31	31.000
CT	819	20	41	41.000
CT	818	12	26	26.000
CT	817	11	25	25.000
CT	816	22	45	45.000
CT	815	17	34	34.000
CT	814	16	32	32.000
CT	813	15	30	30.000
CT	812	17	35	35.000
CT	811	9	18	18.000
CT	810	17	36	36.000
CT	809	12	26	26.000
CT	808	19	44	44.000
CT	807	17	34	34.000
CT	806	13	26	26.000
CT	805	20	42	42.000
CT	804	21	42	42.000
CT	803	10	20	20.000
CT	802	19	39	39.000
CT	801	21	42	42.000
CT	800	23	51	51.000
CT	799	20	42	42.000
CT	798	22	44	44.000
CT	797	10	20	20.000
CT	796	15	32	32.000
CT	795	18	38	38.000
CT	794	16	37	37.000
CT	793	18	38	38.000
CT	792	18	39	39.000
CT	791	10	21	21.000
CT	790	13	26	26.000
CT	789	8	16	16.000
CT	788	6	12	12.000
CT	787	13	26	26.000
CT	786	10	22	22.000
CT	785	22	46	46.000
CT	784	22	48	48.000
CT	783	10	22	22.000
CT	782	8	17	17.000
CT	781	8	20	20.000
CT	780	9	18	18.000
CT	779	13	28	28.000
CT	778	16	38	38.000
CT	777	8	18	18.000
CT	776	6	12	12.000
CT	775	8	18	18.000
CT	774	13	27	27.000
CT	773	9	18	18.000
CT	772	13	30	30.000
CT	771	6	14	14.000
CT	770	13	27	27.000
CT	769	5	14	14.000
CT	768	9	19	19.000
CT	767	6	11	11.000
CT	766	6	19	19.000
CT	765	11	27	27.000
CT	764	6	12	12.000
CT	763	6	12	12.000
CT	762	4	8	8.000
CT	761	11	24	24.000
CT	760	4	7	7.000
CT	759	10	26	26.000
CT	758	10	19	19.000
CT	757	6	16	16.000
CT	756	6	13	13.000
CT	755	4	7	7.000
CT	754	5	15	15.000
CT	753	13	27	27.000
CT	752	6	11	11.000
CT	751	6	12	12.000
CT	750	5	8	8.000
CT	749	7	12	12.000
CT	748	8	13	13.000
CT	747	6	8	8.000
CT	746	6	10	10.000
CT	745	7	13	13.000
CT	744	11	22	22.000
CT	743	11	18	18.000
CT	742	6	12	12.000
